platform,post_id,comment,topic,neg_sentiment (%),pos_sentiment (%),neu_sentiment (%),actionable_insight,date
tiktok,7545241923880095009,"Ajax actualmente:💤
Ajax históricamente: 💀",Ajax slump,45.3,9.71,44.99,Investigate the factors contributing to PSV’s recent struggles against Ajax.,
tiktok,7545241923880095009,was still great back in his Aston Villa days,Aston Villa Traoré performance,8.29,78.32,13.39,Evaluate Traoré’s performance during his time at Aston Villa for a comprehensive assessment.,
tiktok,7545241923880095009,@aminux.23 pss,Aminux criticism,23.27,9.24,67.49,Address criticisms of Aminux through targeted feedback and improvement plans.,
tiktok,7545241923880095009,all the goalkeepers are just like onana,Onana goalkeeper comparison,28.26,15.22,56.52,Research goalkeeper weaknesses to inform defensive strategies.,
tiktok,7545241923880095009,Riyad mihrez style,Riyad Mahrez influence,8.32,15.27,76.41,Explore ways to incorporate Riyad Mahrez’s playstyle into Traoré’s game.,
tiktok,7545241923880095009,buts ❎️penaltys ✅️,Penalty conversion issue,59.25,7.69,33.06,Analyze Traoré’s penalty-taking technique and provide focused coaching.,
tiktok,7545241923880095009,the back ground sound ☺️☺️🔥 love story by Indila,Indila song sentiment,8.41,83.18,8.41,Continue featuring popular music in video content to boost fan engagement.,
tiktok,7545241923880095009,He just passes the ball into the net 😂,Keeper exploitation humor,20.44,22.92,56.65,Develop training exercises that specifically challenge goalkeepers' handling.,
tiktok,7545241923880095009,El que no conoce a traore a cualquier yamal le reza,Traore recognition demand,10.48,13.12,76.4,Promote Traoré’s recognition and value within the club and amongst fans.,
tiktok,7545241923880095009,play stayle that I love ❤️,Traore playing style,8.48,83.04,8.48,Encourage Traoré to utilize and develop his preferred playing style.,
tiktok,7545241923880095009,@AMIR,Amir mention,7.98,23.15,68.87,Acknowledge and respond to mentions of Amir in fan interactions.,
tiktok,7545241923880095009,Il Est Trop Fort Ce Mec,Traore’s strength assertion,7.96,23.46,68.58,Focus on enhancing Bertrand Traoré’s physical strength and power.,
tiktok,7545241923880095009,Scores like he paid the keeper already 😂 mad ❤️,Keeper exploitation humor,7.99,67.67,24.34,Design training scenarios that force goalkeepers to make difficult saves.,
tiktok,7545241923880095009,Make England defenders catch u first 😂😂,Defensive challenge encouragement,26.71,15.47,57.82,Encourage players to proactively target defensive challenges with opposing teams.,
tiktok,7545241923880095009,🥰🥰🥰🥰🥰,Positive sentiment,8.41,83.18,8.41,Maintain a positive and optimistic tone across all fan-facing communications.,
tiktok,7545241923880095009,نادي فينورد >>>>> اياكس,Fenerbahce preference,11.7,11.11,77.19,Recognize and respect Fenerbahce fans’ preference for their team.,
tiktok,7545241923880095009,Na so una advertise Anthony o,Anthony Elanga promotion,8.98,23.65,67.36,→ Recommendation: Promote Elanga’s skills and potential through targeted marketing campaigns.,
tiktok,7545241923880095009,son football est tellement doux pas de contact physique ni rien d'agressif,Lack of physical play,59.54,7.72,32.74,→ Recommendation: Implement a training plan emphasizing physical engagement for the team.,
tiktok,7545241923880095009,Rate my “Real Madrid Remontada” edit 🙏😭,“Real Madrid Remontada” edit,10.88,30.73,58.39,"→ Recommendation: Create a dedicated post showcasing fan-created ""Real Madrid Remontada"" edits.",
tiktok,7545241923880095009,un mauvais agent et ne travaille pas assez,Agent inactivity,33.41,7.71,58.88,→ Recommendation: Review and increase communication frequency with player agents.,
tiktok,7545241923880095009,😅😅😅,(No specific topic - silence),22.49,16.16,61.35,→ Recommendation: Acknowledge and respond to fan silence with occasional updates.,
tiktok,7545241923880095009,Les “gauchers” c’est un autre level!!!!,Left-footed players,21.93,21.16,56.91,→ Recommendation: Highlight and celebrate the club’s impressive left-footed players.,
tiktok,7545241923880095009,,(No specific topic - silence),26.44,7.97,65.59,→ Recommendation: Acknowledge and respond to fan silence with occasional updates.,
tiktok,7545241923880095009,😳😳😳,(No specific topic - silence),34.8,11.32,53.88,→ Recommendation: Acknowledge and respond to fan silence with occasional updates.,
tiktok,7545241923880095009,🥰🥰🥰,(No specific topic - silence),8.32,78.59,13.09,→ Recommendation: Acknowledge and respond to fan silence with occasional updates.,
tiktok,7545241923880095009,he was already in the PR and was injured most of the time. had no impact.,Injury impact – Eliaquim Chiquenhote,56.77,7.65,35.58,→ Recommendation: Address Chiquenhote's injury history and limited impact in marketing materials.,
tiktok,7545241923880095009,😳😳😳,(No specific topic - silence),34.8,11.32,53.88,→ Recommendation: Acknowledge and respond to fan silence with occasional updates.,
tiktok,7545241923880095009,🥰🥰🥰,(No specific topic - silence),8.32,78.59,13.09,→ Recommendation: Acknowledge and respond to fan silence with occasional updates.,
tiktok,7545241923880095009,He plays like Messi,Messi comparison – Obispo,7.91,26.64,65.45,→ Recommendation: Develop content comparing Obispo's playstyle to Lionel Messi.,
tiktok,7545241923880095009,Il est fort de sa manière tous semble facile 🥰😂,Chiquenhote’s physicality,8.35,79.04,12.6,→ Recommendation: Analyze and address fan concerns regarding defender performance.,
tiktok,7545241923880095009,😁😁😁,(No specific topic - silence),7.66,54.6,37.74,→ Recommendation: Acknowledge and respond to fan silence with occasional updates.,
tiktok,7545241923880095009,Nhìn hậu vệ,Defender scrutiny,10.61,17.12,72.28,→ Recommendation: Acknowledge and respond to fan silence with occasional updates.,
tiktok,7545241923880095009,mds,(No specific topic - silence),26.21,7.95,65.83,UNKNOWN,
tiktok,7545241923880095009,🥰🥰🥰,(No specific topic - silence),8.32,78.59,13.09,UNKNOWN,
tiktok,7545241923880095009,😍😍😍,(No specific topic - silence),8.07,72.44,19.49,UNKNOWN,
tiktok,7545241923880095009,🥰🥰🥰,(No specific topic - silence),8.32,78.59,13.09,UNKNOWN,
tiktok,7545241923880095009,🥰🥰🥰,Fan enthusiasm,8.4,83.21,8.4,→ Recommendation: Increase content celebrating fan excitement to amplify positive sentiment.,
tiktok,7545241923880095009,,,15.81,19.73,64.45,→ Recommendation: Evaluate Scofieldd’s training regimen for improved speed and agility.,
tiktok,7545241923880095009,طبق مقوله على الرايق 😂,Mocking Remontada,42.38,9.13,48.5,→ Recommendation: Develop a strategy to counter the Remontada narrative effectively.,
tiktok,7545241923880095009,Rolando champion 🏆🏆 football ⚽,Rolando praise,8.35,79.7,11.95,→ Recommendation: Highlight Rolando’s achievements in promotional materials.,
tiktok,7545241923880095009,"u thought it's easy right 😁no it's not,we all thought 😂",Player tactics criticism,34.54,18.29,47.17,→ Recommendation: Analyze player tactics and identify areas for strategic adjustments.,
tiktok,7545241923880095009,"Alex, Monaco, Dortmund these clubs produces good players",Alex player comparison,7.77,60.48,31.75,→ Recommendation: Compare Alex's performance metrics to relevant player benchmarks.,
tiktok,7545241923880095009,Ajax has the greatest winger every year ngl,Ajax winger comparison,7.85,61.22,30.93,→ Recommendation: Highlight Ajax’s historical wingers in content to reinforce their reputation.,
tiktok,7545241923880095009,beau a voir,Observational commentary,7.65,54.61,37.74,→ Recommendation: Produce diverse content showcasing fan opinions and reactions.,
tiktok,7545241923880095009,"Lol epl defender this and that , well he finishes just like Cole palmer, fine balling no be gra gra !",Defender performance critique,15.33,33.26,51.41,"→ Recommendation: Assess defender performance objectively, referencing established metrics.",
tiktok,7545241923880095009,Come bernabeu🤣,Madrid rivalry banter,24.75,15.19,60.06,→ Recommendation: Engage in playful rivalry banter with Real Madrid on social channels.,
tiktok,7545241923880095009,ayax and monaco produces the best players,Player production comparison,7.76,59.54,32.7,→ Recommendation: Investigate player production rates across various clubs for scouting.,
tiktok,7545241923880095009,😳😳😳,Fan enthusiasm,8.43,80.78,10.78,→ Recommendation: Amplify fan enthusiasm through interactive polls and contests.,
tiktok,7545241923880095009,🥰🥰🥰,Fan enthusiasm,8.4,83.21,8.4,→ Recommendation: Address fan concerns regarding player tactics proactively.,
tiktok,7545241923880095009,easy bro😳,Player tactics criticism,45.22,7.69,47.09,→ Recommendation: Research and share comparisons of players from different leagues.,
tiktok,7545241923880095009,The olise before olise,Player comparison (Olise),8.33,14.54,77.13,→ Recommendation: Encourage fan engagement through open discussions about player skill.,
tiktok,7545241923880095009,Chelsea boy🥶,Chelsea player support,7.64,39.5,52.86,→ Recommendation: Explore potential support for Chelsea players within the fanbase.,
tiktok,7545241923880095009,Captain 🇧🇫❤️🇧🇫❤️🇧🇫❤️🇧🇫,Player nationality support,8.26,77.56,14.18,→ Recommendation: Promote player nationality as a positive element within the club’s identity.,
tiktok,7545241923880095009,he makes soccer look easy,Player tactics observation,9.31,44.0,46.69,→ Recommendation: Develop content illustrating player performance in a clear and concise manner.,
tiktok,7545241923880095009,Tellement facile chez lui,Player performance critique,31.79,7.81,60.4,→ Recommendation: Address concerns about player performance within the current league context.,
tiktok,7545241923880095009,The guy is way better than playing this league,Player league critique,7.95,65.13,26.92,UNKNOWN,
tiktok,7545241923880095009,🙏🙏🙏,Fan appreciation,8.32,78.5,13.19,→ Schedule more fan engagement activities to foster greater connection.,
tiktok,7545241923880095009,Babanız Beşiktaş,Beşiktaş rivalry,8.3,15.45,76.25,→ Implement a targeted rivalry campaign highlighting PSV’s strength.,
tiktok,7545241923880095009,🥰🥰🥰,Fan appreciation,8.4,83.19,8.4,→ Organize a fan appreciation event featuring player interaction.,
tiktok,7545241923880095009,🥰🥰🥰,Fan appreciation,8.4,83.19,8.4,→ Increase fan appreciation content across all platforms.,
tiktok,7545241923880095009,🥰🥰🥰,Fan appreciation,8.4,83.19,8.4,→ Prioritize Volendam as a key target for upcoming matches.,
tiktok,7545241923880095009,focus on beating Volendam 👍,Volendam victory,7.92,68.77,23.3,→ Highlight Bertrand's talent in promotional materials.,
tiktok,7545241923880095009,Bertrand le talent PUR❤️❤️❤️❤️,Bertrand praise,8.54,82.92,8.54,→ Develop a strategy to amplify praise for Bertrand.,
tiktok,7545241923880095009,pure talented,Bertrand praise,8.51,82.13,9.37,→ Amplify positive sentiment surrounding Bertrand’s performance.,
tiktok,7545241923880095009,pure talented 👏 ✨️,Bertrand praise,8.46,83.08,8.46,→ Create celebratory content for impressive goals.,
tiktok,7545241923880095009,first goal it's was amazing 👏,First goal excitement,8.38,83.24,8.38,→ Share moments of Elbouani brilliance through video content.,
tiktok,7545241923880095009,el verdadero 🥶,Elbouani admiration,7.7,39.67,52.63,→  Address fan concerns about Van Dyke's performance with a data-driven response.,
tiktok,7545241923880095009,underrated,Van Dyke criticism,64.54,7.86,27.61,→  Develop a social media campaign to promote respectful dialogue.,
tiktok,7545241923880095009,"my friend why all should stop talking trash abeg.
PL this PL that as if is not human who are playing there huh overrated human for that matter.",Banter – Stop trash talk,75.32,8.17,16.51,→  Showcase Maximo’s calm demeanor through highlight reels.,
tiktok,7545241923880095009,Calmest player i’ve ever seen👌,Maximo’s composure,8.39,79.95,11.66,→  Increase the frequency of fan appreciation posts.,
tiktok,7545241923880095009,🥰🥰🥰,Fan appreciation,8.4,83.19,8.4,→  Recognize and reward fan enthusiasm across channels.,
tiktok,7545241923880095009,❤️❤️❤️,Fan appreciation,8.46,83.08,8.46,→  Publish a short video showcasing Xavi’s passing ability.,
tiktok,7545241923880095009,smooth like water,Xavi’s passing,7.66,53.38,38.95,→  Boost fan engagement with interactive content about Xavi.,
tiktok,7545241923880095009,🥰🥰🥰,Fan appreciation,8.4,83.19,8.4,→  Create a post celebrating Maximo's composure.,
tiktok,7545241923880095009,🥰,Fan appreciation,8.44,83.12,8.44,→  Run a viral marketing campaign focused on PSV.,
tiktok,7545241923880095009,je veux devenir virale cette semaine,Viral marketing request,14.45,12.1,73.45,UNKNOWN,
tiktok,7545241923880095009,"Trop souscoté ce joueur Burkinabé. Moi, je l'adore tro 🥰❤️",Burkina Faso player praise,8.51,82.98,8.51,→ Recommendation: Highlight the player’s strengths to increase fan confidence.,
tiktok,7545241923880095009,madrid harus punya ini pengganti rodrigo,Rodrigo replacement request,16.0,8.48,75.52,→ Recommendation: Explore alternative options for a Rodrigo replacement.,
tiktok,7545241923880095009,,,15.81,19.73,64.45,→ Recommendation: Acknowledge and respond to fan feedback on the player.,
tiktok,7545241923880095009,di sinilah idola ku berkembang,Bertrand Traoré support,8.37,14.85,76.79,→ Recommendation: Amplify support for Bertrand Traoré through targeted content.,
tiktok,7545241923880095009,Bro makes football look easy🥀,Football difficulty complaint,20.64,34.17,45.19,→ Recommendation: Investigate fan concerns regarding football difficulty.,
tiktok,7545241923880095009,Tranquille ❤,Neutral sentiment,8.16,74.45,17.38,→ Recommendation: Monitor and address overall fan sentiment.,
tiktok,7545241923880095009,@TED REVOLTADO,,8.26,16.03,75.71,→ Recommendation: Ignore irrelevant mentions.,
tiktok,7545241923880095009,@Fabrizio Romano bertrand traoré here wo Go Réal Madrid 🙏🙏🙏🙏🙏🙏,Bertrand Traoré support,7.58,46.71,45.71,→ Recommendation: Boost engagement around Bertrand Traoré's profile.,
tiktok,7545241923880095009,this guy too like R2😭😭😭,Raphinha comparison,46.66,10.35,42.99,→ Recommendation: Assess Bertrand Traoré’s finishing capabilities objectively.,
tiktok,7545241923880095009,Traoré ♥️,Bertrand Traoré support,7.65,58.65,33.7,→ Recommendation: Strengthen Bertrand Traoré’s position as a fan favorite.,
tiktok,7545241923880095009,Je sui portugais du Faso mais Bertrand es plus fort que cr7 😎,Bertrand Traoré comparison (CR7),7.57,45.64,46.79,→ Recommendation: Analyze and address fan perceptions of Bertrand Traoré’s playing style.,
tiktok,7545241923880095009,Sunderland is shopping at ajax at this point,Ajax scouting,13.14,14.17,72.69,→ Recommendation: Develop content showcasing the player’s elegant movement.,
tiktok,7545241923880095009,La simplicité de ses mouvements.,Movement appreciation,7.59,47.45,44.96,→ Recommendation: Focus on improving the player's finishing accuracy.,
tiktok,7545241923880095009,bro seems to be cold finisher of this generation 🔥,Cold finisher evaluation,14.04,37.05,48.91,→ Recommendation: Create content comparing the player to influential past figures.,
tiktok,7545241923880095009,و أنا من اول والله احسبه كومان لاعب النصر😂,Youssouf Moussa Diawara comparison (Klopp),14.04,12.47,73.49,→ Recommendation: Promote the player’s fluid style to further enhance fan appeal.,
tiktok,7545241923880095009,Y todos deslumbrados con la Yamal 😂,Gavi admiration,7.62,47.87,44.51,→ Recommendation: Develop content contrasting the player with a known problematic defender.,
tiktok,7545241923880095009,What a player he was,Past player recollection,8.19,75.37,16.45,→ Recommendation: Address fan feedback regarding ease of play.,
tiktok,7545241923880095009,Ça semble si facile avec lui.🥰,Ease of play appreciation,8.48,81.84,9.68,→ Recommendation: Address fan feedback regarding ease of play.,
tiktok,7545241923880095009,Better than Heiko Westermann,Heiko Westermann criticism,15.57,37.93,46.5,UNKNOWN,
tiktok,7545241923880095009,C’est tellement simple 🤭🫡,Ease of play appreciation,7.68,41.78,50.53,UNKNOWN,
tiktok,7545241923880095009,@hashim gng what,Unclear request,32.6,7.72,59.68,Prioritize fan engagement efforts with clearer communication.,
tiktok,7545241923880095009,🥶❄️,N/A - Emoji only,8.83,15.73,75.44,Increase emoji usage to enhance emotional connection.,
tiktok,7545241923880095009,Ajax Plis Buyy me 🗿🙌🏻,Criticism - Ronaldo WC,12.73,34.4,52.86,Develop content highlighting PSV’s rivalry with Ajax.,
tiktok,7545241923880095009,Where is penaldo wc😂,Criticism - Ronaldo WC,25.02,12.46,62.52,Analyze Scofieldd’s training regimen for pace improvements.,
tiktok,7545241923880095009,Top talent ⚡️,Praise - Top Talent,8.49,83.03,8.49,Boost fan confidence through positive player spotlights.,
tiktok,7545241923880095009,it's so satisfying to watch him,Praise - Van de Beek,8.43,83.15,8.43,Highlight Van de Beek’s dynamic playing style.,
tiktok,7545241923880095009,premier league is a different ball game. when you go on the games and see it live you can see how fast the game is played hou don't get half a second without someone biting at your ankles he wont get that much space jn the epl,Criticism - EPL pace,32.0,12.04,55.96,Adjust training to account for the EPL’s fast pace.,
tiktok,7545241923880095009,Tout est facile pour lui on dirait un talent pure,Praise - Moussa Dembele,7.99,70.27,21.74,Showcase Moussa Dembele’s attacking prowess.,
tiktok,7545241923880095009,Sunderland sha wan carry premier league,Criticism - Sunderland,23.87,14.55,61.58,Address fan concerns about Sunderland’s performance.,
tiktok,7545241923880095009,on dirait il gagne en douceur 😅,Criticism - Dembele's ease,14.04,21.18,64.79,Analyze Dembele's playing style for key adjustments.,
tiktok,7545241923880095009,@Mykenley damnnnn😭,N/A - Emotional reaction,38.48,12.33,49.19,Increase fan engagement through interactive content.,
tiktok,7545241923880095009,bertrand traore vs de bruyne,Comparison - Traore vs. De Bruyne,8.59,8.59,82.82,Explore comparisons to understand player strengths.,
tiktok,7545241923880095009,🥶🥶🥶,N/A - Emoji only,20.17,10.13,69.7,Expand emoji usage to connect with a wider audience.,
tiktok,7545241923880095009,"esse é um dos jogadores aleatórios que eu era fã kkkk, jogou muito com a 10 do Lyon",Praise - Lyon Moussa,7.71,32.8,59.49,Celebrate Dembele’s skill and goal-scoring ability.,
tiktok,7545241923880095009,He doesn't rush to score,Praise - Patience,7.68,45.74,46.58,Host a fan discussion forum to address open questions.,
tiktok,7545241923880095009,the second one,N/A - Reference to match,8.56,8.56,82.88,UNKNOWN,
tiktok,7545241923880095009,"Tu as donné de l’amour à ceux qui ne le méritaient pas. Ça fait mal, mais ne laisse pas la douleur te changer : ton amour prouve que tu es précieux.",Criticism - Undeserved praise,11.74,34.78,53.48,UNKNOWN,
tiktok,7545241923880095009,Comment peut-on marquer avec une telle aisance ?,Praise - Dembele’s skill,7.73,60.97,31.3,UNKNOWN,
tiktok,7545241923880095009,c est un jeux ou bien,N/A - Open question,9.93,8.6,81.47,UNKNOWN,
tiktok,7545241923880095009,@Yang,N/A - Unclear comment,28.68,7.78,63.54,UNKNOWN,
tiktok,7545241923880095009,que tranquilidad.,Training request,9.83,11.92,78.24,→ Recommendation: Highlight Chanceler’s strengths in upcoming matches.,
tiktok,7545241923880095009,King of Bends🔥,Traore’s potential,8.4,80.51,11.09,→ Recommendation: Develop content showcasing Traore’s potential and impact.,
tiktok,7545241923880095009,Smooth😭,Injury concern,63.72,7.8,28.48,→ Recommendation: Monitor Smooth’s injury status closely and provide updates.,
tiktok,7545241923880095009,Is he the one who was playing for villa?,Bakari Adeyemi inquiry,9.67,8.59,81.74,→ Recommendation: Investigate Bakari Adeyemi’s background and playing style.,
tiktok,7545241923880095009,il fait penser que le foot est facile,Foot’s simplicity,7.72,39.65,52.63,→ Recommendation: Acknowledge and address fan perceptions of football's simplicity.,
tiktok,7545241923880095009,ancien Lyonnais trop fort,Juninho’s form,7.62,38.53,53.85,→ Recommendation: Assess Juninho’s current form and identify areas for improvement.,
tiktok,7545241923880095009,Choosing Ajax in eFootball PES is a great thing. ✨,Ajax selection,8.42,83.16,8.42,→ Recommendation: Promote the selection of Ajax in eFootball PES.,
tiktok,7545241923880095009,Son dernier match à Ajax 😳😳,Ajax Son’s performance,11.19,27.64,61.17,→ Recommendation: Analyze and report on Ajax Son’s performance in detail.,
tiktok,7545241923880095009,Da pra montar um time só com traoré’s,Traore’s squad idea,9.19,15.61,75.2,→ Recommendation: Encourage fans to build team concepts centered around Traore.,
tiktok,7545241923880095009,🥰🥰🥰🇧🇫🇧🇫🤍🤴🤴💯👍,Nunez appreciation,8.42,83.15,8.42,→ Recommendation: Amplify appreciation for Darwin Nunez through targeted campaigns.,
tiktok,7545241923880095009,chân trái này cũng dẻo như Mahrez,Mahrez’s footwork,8.06,44.41,47.53,→ Recommendation: Compare Chanceler’s footwork with Mahrez’s to inspire players.,
tiktok,7545241923880095009,smooth parah coi,Injury concern,50.3,7.62,42.08,→ Recommendation: Continue to monitor and address concerns regarding injury risk.,
tiktok,7545241923880095009,enteng benerrr,Injury concern,56.55,7.65,35.8,→ Recommendation: Promote Nunez’s desire for a top-tier club.,
tiktok,7545241923880095009,mais lui là mérite au moins une grande équipe,Nunez’s ambition,17.48,20.8,61.72,→ Recommendation: Share content showcasing Nunez’s refined playing style.,
tiktok,7545241923880095009,ماشاء الله والجوده لاعب انيق 👌,Nunez’s elegance,7.95,67.76,24.29,→ Recommendation: Leverage fan enthusiasm in marketing and promotional material.,
tiktok,7545241923880095009,💯💯💯,Fan enthusiasm,8.53,82.95,8.53,→ Recommendation: Address the topic of banter with light-hearted responses.,
tiktok,7545241923880095009,😂😂😂,Harmless banter,34.13,21.67,44.2,→ Recommendation: Evaluate and report on the performance of the Chanceler.,
tiktok,7545241923880095009,bro chân 5-1,Chanceler’s performance,7.92,26.2,65.87,→ Recommendation: Analyze Kudus’s playing style for fan comparisons.,
tiktok,7545241923880095009,he plays like kudus🥰,Kudus’s style,8.38,80.06,11.55,→ Recommendation: Manage expectations regarding the performance of the team.,
tiktok,7545241923880095009,No pressure for him,Low expectations,12.46,37.35,50.18,UNKNOWN,
tiktok,7545241923880095009,hebat guys...sesantai itu kau bermain,Player enjoyment,7.7,55.81,36.49,→ Schedule more engaging content celebrating player performances.,
tiktok,7545241923880095009,💞💞💞,(No specific topic – emoji),8.22,76.63,15.15,→ Investigate Scofieldd’s training regimen for enhanced speed.,
tiktok,7545241923880095009,ajax club yg terbitkan pemain2 hebat,Ajax player transfer,8.56,10.04,81.4,→ Develop marketing campaigns highlighting PSV’s success against Ajax.,
tiktok,7545241923880095009,the first goal😍,Goal excitement,8.39,83.21,8.39,→ Create content that amplifies the excitement surrounding goals.,
tiktok,7545241923880095009,he was a different player before he left the first time.,Player fitness adjustment,11.78,12.99,75.22,→ Implement a targeted fitness program for players showing decline.,
tiktok,7545241923880095009,Gass persib💀,Rival fan interaction,40.23,11.99,47.78,→ Monitor and address negative comments from rival fan accounts.,
tiktok,7545241923880095009,Ziyech,Player – Ziyech,8.3,14.23,77.47,→ Research and support Ziyech's development within the squad.,
tiktok,7545241923880095009,low driven shot on its pick,Shot accuracy criticism,51.35,7.63,41.02,→ Refine player shooting technique through specialized drills.,
tiktok,7545241923880095009,Ajax nyiptain wonderkid lagi nih🔥,Ajax youth development,7.78,63.38,28.84,→ Promote Ajax’s youth academy and potential signings.,
tiktok,7545241923880095009,🔲+r2,(No specific topic – controller buttons),8.57,10.89,80.54,→ Acknowledge and respond to general fan sentiment.,
tiktok,7545241923880095009,capi 🔥💪🇧🇫,"Player – Traore, nationality support",7.94,69.79,22.27,→ Analyze fan interactions and identify key engagement drivers.,
tiktok,7545241923880095009,@𝗶𝘁'𝘀 𝗺𝗲𝘀𝗵𝗶𝗲🐐,"Player – Messi, admiration",8.01,71.87,20.12,→ Deliver tailored content recognizing top players and their nationalities.,
tiktok,7545241923880095009,🙏,(No specific topic – prayer emoji),8.6,33.38,58.03,→ Generate content that amplifies positive player comparisons.,
tiktok,7545241923880095009,"Traore is such a good player.. A win for Sunderland,",Sunderland victory,8.43,83.15,8.43,→  Maintain a respectful and professional tone in all communications.,
tiktok,7545241923880095009,Give one chance 🙎🏽‍♂️,"Player – Bergwijn, second chance request",15.94,21.33,62.73,→ Develop a strategy for handling player requests for second chances.,
tiktok,7545241923880095009,new Bergwijn,Player – Bergwijn,8.24,15.12,76.64,→ Increase scouting and analysis of Bergwijn’s performance.,
tiktok,7545241923880095009,فصلي,(No specific topic – Arabic script),15.59,10.49,73.92,→  Translate popular fan comments into multiple languages.,
tiktok,7545241923880095009,kenapa yaa pemain kidal itu sinarnya luar biasa...,Player – “kidal” (likely referring to a specific player’s name),11.48,8.54,79.99,→  Investigate the reasons behind fan support for “kidal”.,
tiktok,7545241923880095009,❤️❤️❤️,(No specific topic – emoji),8.33,78.9,12.76,→  Continue to utilize emojis to build community engagement.,
tiktok,7545241923880095009,😂😂😂,Harmless banter,34.13,21.67,44.2,→  Address player-specific requests for support or development.,
tiktok,7545241923880095009,baby defenders will allow you to do this.,Yamal overconfidence,44.2,10.16,45.64,Develop a training plan for Yamal that emphasizes speed and defensive positioning.,
tiktok,7545241923880095009,Qarabağ🖤🤍,Qarabağ support,8.06,72.97,18.96,Highlight Qarabağ’s fanbase and support in marketing campaigns.,
tiktok,7545241923880095009,🥰🥰🥰,Unspecified positive sentiment,8.42,83.17,8.42,Increase engagement through interactive polls and questions.,
tiktok,7545241923880095009,Nothing concern premier league with this kind style ooo … be hard oo,Premier League comparison,48.03,7.68,44.29,Analyze and address the Premier League comparison in fan discussions.,
tiktok,7545241923880095009,sa facilité de jouer 🤣🥰,Kudus's ease of play,8.44,81.13,10.43,Focus training on maximizing Kudus’s attacking effectiveness and playmaking.,
tiktok,7545241923880095009,😂😂😂,Unspecified positive sentiment,26.88,27.45,45.67,Run contests and giveaways to boost fan participation.,
tiktok,7545241923880095009,الفنش ولا غلطه,Kudus’s tactical performance,12.45,21.85,65.71,Evaluate Kudus’s tactical contribution and identify areas for improvement.,
tiktok,7545241923880095009,The kudus before kudus,Kudus’s predecessor comparison,15.87,10.81,73.32,Compare Kudus’s current performance to his previous roles for strategic insights.,
tiktok,7545241923880095009,Ajax and talent players,Ajax player talent,7.68,38.39,53.93,Scout and target players with similar talent to Ajax’s current squad.,
tiktok,7545241923880095009,And @Lamine Yamal thinks hes's special 🤣 nothing surprising. stop making that boy to over brag,Yamal’s arrogance,65.87,7.9,26.22,Implement strategies to manage Yamal’s confidence and encourage humility.,
tiktok,7545241923880095009,😳😳😳,Unspecified positive sentiment,26.03,27.7,46.27,Explore options for fan rewards and recognition programs.,
tiktok,7545241923880095009,why is so easy 😏,Kudus’s style,14.38,43.27,42.35,Refine Kudus’s playing style to enhance its efficiency and impact.,
tiktok,7545241923880095009,😁😁😁,Unspecified positive sentiment,8.49,83.01,8.49,Monitor CJ’s development and assess his readiness for increased playing time.,
tiktok,7545241923880095009,Mohamed KUDUS🇬🇭,Kudus’s nationality,8.37,13.57,78.06,Promote Kudus’s Ghanaian heritage in international marketing efforts.,
tiktok,7545241923880095009,@NASRI 🤷🏽‍♂️🖤 @naasir wxan side lagu celinaa 😂😂😂 Sunderland wa wataa,Nasri’s banter,8.94,56.52,34.54,Engage in playful banter with rival fans to foster community spirit.,
tiktok,7545241923880095009,Meilleur joueur Burkinabé de la nouvelle génération super bon 😍,Burkinabé player talent,8.43,80.32,11.25,Showcase Burkinabé players’ emerging talents to build excitement.,
tiktok,7545241923880095009,smooth,Kudus’s playing style,7.59,44.56,47.86,Optimize Kudus’s movement and decision-making on the field.,
tiktok,7545241923880095009,C go off go if CJ ok,CJ’s potential,7.58,44.75,47.67,Assess CJ’s capabilities and identify pathways for his progression.,
tiktok,7545241923880095009,💪💪💪,Unspecified positive sentiment,8.49,81.77,9.74,Run fan-focused contests with prizes related to the team.,
tiktok,7545241923880095009,blitzcurler🥶,Blitzcurler tactic,25.95,11.95,62.1,Research and incorporate Blitzcurler tactics into training sessions.,
tiktok,7545241923880095009,Really you can feel how the league is easy come Premier league and Move like this😂🥀,Premier League comparison,19.51,28.66,51.83,→ Recommendation: Highlight De Jong’s current form to counter past criticisms.,
tiktok,7545241923880095009,kok kek gampang bngt ya,Koke’s ease of play,7.68,38.42,53.91,→ Recommendation: Investigate Koke’s fitness and conditioning to address speed concerns.,
tiktok,7545241923880095009,,Unspecified comment,53.38,7.62,38.99,→ Recommendation: Respond to fan sentiment regarding Ajax to foster positive fan engagement.,
tiktok,7545241923880095009,Master of bends💯,Dom Ilic’s skill,7.78,64.08,28.14,→ Recommendation: Incorporate Dom Ilic’s bending ability into promotional material.,
tiktok,7545241923880095009,contract me In fc25 pls,FC25 contract request,7.99,22.85,69.16,→ Recommendation: Explore potential partnerships with FC25 to leverage their fanbase.,
tiktok,7545241923880095009,arsenal agents are not seeing this baller,Arsenal interest in Obispo,27.4,13.2,59.4,→ Recommendation: Publicly acknowledge and counter interest from Arsenal regarding Obispo.,
tiktok,7545241923880095009,left footed are always dangerous,Left-footed players’ threat,47.31,7.67,45.02,→ Recommendation: Emphasize the threat posed by left-footed players in game analysis.,
tiktok,7545241923880095009,Hello admin❤️,Unspecified comment,7.7,60.47,31.82,→ Recommendation: Acknowledge and appreciate fan feedback for general engagement.,
